question,id,casea,caseb,casec,cased,truecase
"Điền tiếp vào câu tục ngữ sau: ""Chớp đông nhay nháy  gà gáy thì ....""?",5,Toi,Mưa,Nắng,Râm,2
Đâu không phải là tên một môn thể thao?,6,Cầu Kiến,Cầu Mây,Cầu Lông,Khúc Côn Cầu,1
"Điền tiếp vào câu thành ngữ để chỉ vẻ đẹp: ""Chim sa cá ....""?",7,Nổi,Nhảy,Lặn,Bơi,3
"Điền tiếp vào câu thành ngữ: ""Cơn đằng đông vừa trông vừa ...""?",8,Sợ,Chạy,Trốn,Tắm,2
Alibaba và bao nhiêu tên cướp?,9,10,20,30,40,4
"Điền tiếp vào câu thành ngữ: ""Con kiến mà kiện ...""?",10,Con voi,Củ khoai,Đầu gối,Hộp đường,2
Thứ nào sau đây không ăn được?,11,Bánh quy,Bánh Bao,Bánh xe,Bánh mật,3
"Điền tiếp vào câu tục ngữ: ""Ăn ... học hay""?",12,Nói,Ngủ,No,Vóc,4
"Điền tiếp vào câu tục ngữ: ""Bán anh em xa mua ... gần""?",13,Vợ,Cô gái,Láng giềng,Đồ cổ,3
"Câu tục ngữ: ""Bán phấn buôn hương"" để chỉ?",14,Người bán phấn,Người buôn hương,Người buôn bán hàng mã,Cô gái làng chơi,4
"Điền vào chỗ trống: ""Đi với bụt mặc áo cà sa  đi với ma mặc áo ...""?",15,Áo dài,Áo giấy,Áo lụa,Áo gió,2
"Điền tiếp vào câu tục ngữ: ""Đi một ngày đàng  ...""?",16,Gặp toàn hàng ngon,Mệt rũ chân tay,Học một sàng khôn,Vớ toàn điều xui,3
"Điền tiếp vào câu tục ngữ: ""Đói cho sạch  rách cho ...""?",17,Thơm,Lành,Vuông,No,1
"Điền tiếp vào câu tục ngữ: ""Đời cha ăn mặn  đời con ...""?",18,Ăn nhạt,Khát nước,Ăn cay,Chết đói,2
"Điền tiếp vào câu tục ngữ: ""Chết ... còn hơn sống nhục""?",19,Trong,Xanh,Vinh,Sướng,3
"Điền tiếp vào câu thành ngữ: ""Kẻ cắp gặp ...""?",20,Bà già,Công an,Thương binh,Nông dân,1
"Điền tiếp vào câu tục ngữ: ""Lo bò ... răng""?",21,Đen,Trắng,Sáng,Sứt,2
"Điền tiếp vào câu tục ngữ: ""Không thầy đố mày ...""?",22,Học ngu,Dạy ai,Làm nên,Đi chơi,3
"Điền tiếp vào câu tục ngữ: ""Khôn nhà  dại ...""?",23,Vườn,Trường,Cửa,Chợ,4
"Điền tiếp vào câu tục ngữ: ""Một giọt ... hơn ao nước lã""?",24,Axit,Bazo,Máu đào,Nước thánh,3
"Điền tiếp vào câu tục ngữ: ""Mật ngọt chết ...""?",25,Ruồi,Gián,Ong,Hoa,1
"Điền tiếp vào câu tục ngữ: ""Một nụ cười bằng mười ...""?",26,Cái tát,Thang thuốc bổ,Quả đấm,Cái liếc,2
"Điền tiếp vào câu tục ngữ: ""Mèo mả gà ...""?",27,Mồ,Đồng,Rừng,Nhà,2
"Điền tiếp vào câu tục ngữ: ""Một điều nhịn  chín điều ...""?",28,Nhục,Lành,Tức,Hận,2
"Điền tiếp vào câu tục ngữ: ""Nước chảy ...""?",29,Thì sướng,Thì ướt,Đá mòn,Thành sông,3
"Điền tiếp vào câu tục ngữ: ""Nói có sách  mách có ...""?",30,Chứng,Vở,Ebook,Google,1
Tập thơ Nhật ký trong tù được Hồ Chí Minh viết bằng tiếng gì?,31,Tiếng Việt,Tiếng Nôm ,Tiếng Anh ,Tiếng Hán,4
"Thành ngữ thường dạy: ""Ăn chắc mặc ..."". Từ trong dấu ""...""  là gì?",32,Đẹp ,Sang , Bẩn ,Bền,4
"Người ta thường nói: ""Nói ngang như ...""?",33,Ghẹ,Cua,Ngỗng,Heo,2
"Điền từ còn thiếu thích hợp: ""Thuý Kiều là ...   ... là Thuý Vân""?",34,Em  chị,Chị  em,Chị,Em,2
"Người ta thường nói: ""Chủ vắng nhà  gà vọc niêu ...""?",35,Chó ,Mèo,Tôm ,Cua,3
Ở Việt Nam  mùa nào nóng nhất trong năm?,36,Xuân ,Hạ ,Thu ,Đông ,2
Trong các con vật sau đây  con nào được người ta kéo cày?,37,Ngựa ,Lừa ,Chó ,Trâu ,4
Con vật nào sau đây biết bay?,38,Gà ,Vịt ,Chim ,Ngỗng ,3
Tết gì trẻ em đốt đèn đi chơi khắp phố phường  xóm làng?,39,Tết Nguyên Đán ,Tết Nguyên Tiêu ,Tết Trung Thu ,Tết Hàn thực,3
"Tục ngữ có câu: ""Có công mài sắt  có ngày nên ...""?",40,Xà beng,Kim ,Người ,Cao ,2
"Điền vào câu tục ngữ sau: ""Phép ... thua lệ làng""?",41,Quan ,Vua ,Nước ,Dân ,2
"Điền vào câu sau: ""Phải biết điềm tĩnh trước ...  không giật mình trước gái xấu.""?",42,Gái xinh,Tiền,Happy Pola,Tinh tinh,1
"Điền vào câu ca dao sau: ""Thức lâu mới biết đêm dài  ở lâu mới biết ... người chẳng ngay""?",43,Bụng ,Tâm ,Lòng ,Trí ,3
"Điền vào chỗ trống: ""Ăn bằng gói ...""?",44,Chặt ,Chắc ,Bền ,Lỏng ,2
"Điền vào chỗ trống: ""... đến nơi  làm đến chốn""?",45,Chơi ,Ăn ,Ở ,Nghĩ ,2
"Điền vào chỗ trống: ""Còn nước còn ...""?",46,Tát ,Đánh ,Đấm ,Đá ,1
"Điền vào chỗ trống: ""Chim sa ... lặn""?",47,Cá ,Chuột ,Ếch ,Nhái ,1
"Điền vào chỗ trống: ""Không mợ thì chợ vẫn ...""?",48,Đông ,Vắng,Vui ,Xôm ,1
"Điền vào chỗ trống: ""Ngày lành ... tốt""?",49,Tuần ,Tháng ,Năm ,Giờ ,2
"Điền vào chỗ trống: ""Có chí ... nên""?",50,Mới ,Thì ,Sẽ ,Là ,2
Trong các thứ tự sau đây  thứ tự nào đúng với một câu thành ngữ?,51,Vô nhân thập toàn ,Nhân vô thập toàn ,Thập toàn nhân vô,Thập toàn vô nhân ,2
"Thành ngữ thường nói: ""Ao sâu tốt ..."" . Hãy điền vào từ còn thiếu?",52,Nước ,Lá ,Cá,Bể ,3
Tóc người Việt Nam đa số có màu gì?,53,Màu vàng,Màu đen,Màu nâu ,Màu đỏ,2
Quê hương của Bác Hồ?,54,Nghệ An,Nghệ Tĩnh,Hà Tĩnh,Hà Nội,1
"Người ta thường nói: ""Lơ ngơ như ... đội nón""?",55,Gà ,Bò ,Khỉ ,Mèo ,2
Tết cổ truyền cùa người Việt Nam diễn ra vào mùa nào trong năm?,56,Xuân ,Hạ ,Thu ,Đông,1
Trong các con vật sau đây  con nào dữ tợn nhất?,57,Lừa ,Ngựa ,Lạc đà ,Báo ,4
Trong các con vật sau đây  con nào thường được nuôi trong sở thú?,58,Ngựa ,Chó ,Mèo ,Lợn ,1
"Điền vào chỗ trống: ""Trời mưa bong bóng phập phồng  mẹ đi lấy chồng con ở với ...""?",59,Cha ,Ba ,Bố ,Ai ,4
Trong các loài cây sau đây  loài cây nào sống lâu năm nhất?,60,Cây bạch đàn,Cây me tây ,Cây đa ,Cây lúa ,3
Con vật nào sau đây khác với 3 con còn lại?,61,Tôm ,Bò ,Cua ,Nghêu ,2
"Điền vào câu tục ngữ sau: ""Cha mẹ sinh con  trời sinh ...""?",62,Cỏ ,Nết ,Tính ,Cây,3
"Điền vào câu tục ngữ sau: ""Thương nhau ... cũng tròn  ghét nhau  trái bồ hòn cũng méo""?",63,Trái táo ,Trái gấc,Trái dưa hấu,Trái ấu ,4
"Điền vào chỗ trống: ""Ăn bơ làm ...""?",64,Biếng ,Lười ,Hỏng ,Liều,1
"Điền vào chỗ trống: ""Ăn đời ở ...""?",65,Lâu ,Số ,Phận ,Kiếp ,4
"Điền vào chỗ trống: ""Con ông ... cha""?",66,Họ ,Cháu ,Mẹ ,Chú ,2
"Điền vào chỗ trống: ""Có ... quên đèn""?",67,Mặt trời ,Trăng ,Bóng ,Dây tóc ,2
"Điền vào chỗ trống: ""Khẩu phật tâm ...""?",68,Độc ,Xà ,Địa ,Lành ,2
"Điền vào chỗ trống: ""Ném đá giấu ...""?",69,Tay ,Chân ,Sỏi ,Lửa ,1
"Điền vào chỗ trống: ""... chết để da  người ta chết để tiếng""?",70,Hổ ,Beo ,Báo ,Hùm ,4
Trong các thứ tự sau đây  thứ tự nào đúng với một câu thành ngữ?,71,Hữu danh vô thực,Danh hữu thực vô ,Hữu danh thực vô ,Danh hữu vô thực,1
"Thành ngữ có câu: ""Ai làm  ... chịu"". Từ còn thiếu là?",72,Ai ,Tôi ,Nấy ,Phải ,3
Cha ruột của cha chúng ta gọi là gì?,73,Ông ngoại,Ông cố,Ông sơ,Ông nội,4
Huyện Nam Đàn thuộc tỉnh nào của Việt Nam?,74,Thanh Hoá,Nghệ Tĩnh,Hà Tĩnh,Nghệ An,4
"Điền vào câu tục ngữ sau: ""Gậy ông đập lưng ...""?",75,Cháu ,Bà ,Ông ,Con ,3
Trong các chất sau đây  chất nào mặn nhất?,76,Muối ăn ,Đường ,Tinh bột ,Xà phòng ,1
Trong các con vật sau đây  con nào hiền nhất?,77,Hổ,Sói ,Tê giác ,Hươu ,4
Trong các con vật sau đây  con nào thường được nuôi để lấy thịt?,78,Chó ,Mèo ,Lợn ,Ngựa ,3
"Người ta thường nói: ""Cứu vật thì vật trả ân  cứu nhân thì nhân trả ...""?",79,Đũa ,Công ,Tiền ,Oán ,4
Trong các loài cây sau đây  loài cây nào được xem là cây lương thực?,80,Cây me tây ,Cây đa ,Cây lúa ,Cây cao su ,3
Con vật nào sau đây khác với 3 con còn lại?,81,Tôm ,Sò ,Nghêu ,Ngao ,1
"Điền vào câu sau: ""Trăm lời anh nói không bằng làn khói...""?",82,Exciter,Dream,A còng (@),Thuốc Lào,3
"Điền vào câu tục ngữ sau: ""Vắng đàn ông ... nhà  vắng đàn bà quạnh bếp""?",83,Lạnh ,Trống ,Quạnh ,Xấu ,3
"Điền vào chỗ trống: ""Ăn bờ ở ...""?",84,Đậu ,Bụi ,Chợ ,Quán nét,2
"Điền vào chỗ trống: ""Ăn không ngồi ...""?",85,Chơi ,Có,Rồi,Chán ,3
"Điền vào chỗ trống: ""Con sâu làm ... nồi canh""?",86,Bẩn ,Hỏng ,Rầu ,Đổ ,3
"Điền vào chỗ trống: ""Đầu đường xó ...""?",87,Nhà ,Bếp ,Chợ ,Búa,3
"Điền vào chỗ trống: ""Khôn nhà ... chợ""?",88,Khôn ,Ngốc ,Dại ,Khờ ,3
"Điền vào chỗ trống: ""Nhất tự vi sư  ... tự vi sư""?",89,Nhị ,Tam ,Bán ,Mua ,3
Trong các thứ tự sau đây  thứ tự nào đúng với một câu thành ngữ?,90,Vô đơn hoạ chí,Hoạ vô đơn chí,Hoạ vô chí đơn ,Vô hoạ chí đơn ,2
"Thành ngữ có câu: ""Anh em như thể ..."". Hãy điền vào từ còn thiếu?",91,Chân tay ,Đầu tóc,Mồ côi ,Họ hàng,1
"Điền vào từ còn thiếu: ""Gần mực thì đen. Gần đèn thì ...""?",92,Tối,Sáng,Cháy,Đốt,2
Hồ Gươm ở đâu?,93,Hà Tĩnh,Hà Nam,Hà Nội,Tp. Hồ Chí Minh,3
"Người ta thường nói: ""Xa mặt cách ...""?",94,Trở ,Tình ,Biệt,Lòng ,4
Trong các chất sau đây  chất nào ngọt nhất?,95,Muối ăn ,Nước mưa ,Nước biển ,Đường ,4
Trong các con vật sau đây  con nào có nanh vuốt?,96,Lừa ,Ngựa ,Hươu ,Hổ ,4
Trong các con vật sau đây  con nào thường được nuôi trong nhà?,97,Lợn ,Chó ,Ngựa ,Lừa ,2
"Điền từ còn thiếu: ""Công cha như núi ngất trời  nghĩa mẹ như nước ngời ngời ...""?",98,Đại bàng ,Biển Đông ,Suối sông ,Biển cả ,2
Trong các loài cây sau đây  loài cây nào cho mủ để sản xuất săm xe?,99,Cây me tây ,Cây bông ,Cây bạch đàn ,Cây cao su ,4
Nước tinh khiết sôi ở bao nhiêu độ?,100,70 độ C,80 độ C ,90 độ C ,100 độ C,4
"Điền vào câu tục ngữ sau: ""Có ... mua tiên cũng được""?",101,Vàng ,Bạc ,Tiền ,Kim cương ,3
"Điền vào câu tục ngữ sau: ""Ta về ta tắm ao ...   dù trong dù đục ao nhà vẫn hơn""?",102,Mình ,Ta ,Xưa ,Quen ,2
"Điền vào chỗ trống: ""Ăn bớt đọi  nói bớt ...""?",103,Câu ,Tiếng ,Lời ,Vần ,3
